treeID,mean475,mean560,mean668,mean717,mean842,median475,median560,median668,median717,median842,mean_bright475,mean_bright560,mean_bright668,mean_bright717,mean_bright842,median_bright475,median_bright560,median_bright668,median_bright717,median_bright842,mean_dark475,mean_dark560,mean_dark668,mean_dark717,mean_dark842,median_dark475,median_dark560,median_dark668,median_dark717,median_dark842,mean_6max475,mean_6max560,mean_6max668,mean_6max717,mean_6max842,median_6max475,median_6max560,median_6max668,median_6max717,median_6max842,meanNormalized475,meanNormalized560,meanNormalized668,meanNormalized717,meanNormalized842,continuumRemovedMean475,continuumRemovedMean560,continuumRemovedMean668,continuumRemovedMean717,continuumRemovedMean842
442,0.022906,0.059155,0.033190,0.126553,0.266636,0.022705,0.058136,0.030670,0.124634,0.265045,0.027339,0.075598,0.044225,0.162262,0.334471,0.026794,0.072754,0.041962,0.155518,0.320175,0.018951,0.043801,0.025329,0.092990,0.201618,0.019272,0.044342,0.025665,0.094650,0.205017,0.037999,0.109970,0.074585,0.225357,0.489909,0.037842,0.109726,0.072876,0.227524,0.488876,0.075422,0.194779,0.109283,0.416698,0.877948,1.000000,0.705584,0.229256,0.615220,1.000000
443,0.038755,0.072646,0.055223,0.144725,0.219910,0.039124,0.075531,0.057068,0.145630,0.217499,0.046173,0.085597,0.065799,0.174046,0.265045,0.044800,0.083969,0.064972,0.170593,0.257782,0.030706,0.057142,0.042810,0.114530,0.177489,0.032394,0.060028,0.045151,0.120987,0.184204,0.063543,0.110611,0.084925,0.235072,0.373444,0.062988,0.110291,0.083832,0.232986,0.376801,0.137767,0.258243,0.196308,0.514469,0.781739,1.000000,0.864384,0.426986,0.828792,1.000000
444,0.030806,0.067369,0.046837,0.147611,0.306700,0.029175,0.066315,0.044495,0.144958,0.302887,0.038028,0.079281,0.060020,0.175031,0.359592,0.036438,0.077347,0.057312,0.169998,0.349426,0.025661,0.056673,0.036798,0.122992,0.260743,0.026001,0.058258,0.037781,0.123779,0.265228,0.058039,0.106074,0.086151,0.231628,0.460154,0.058472,0.103333,0.086914,0.227341,0.457581,0.087647,0.191674,0.133258,0.419974,0.872607,1.000000,0.675175,0.277548,0.620927,1.000000
445,0.025533,0.064492,0.036251,0.142709,0.315740,0.024597,0.060699,0.032104,0.131073,0.304901,0.031724,0.084514,0.051288,0.190418,0.390282,0.030640,0.082672,0.048096,0.183167,0.386444,0.020292,0.049144,0.026173,0.108268,0.252232,0.020447,0.049805,0.026428,0.111298,0.258972,0.049255,0.122370,0.083679,0.286275,0.532104,0.049072,0.121948,0.084213,0.289124,0.529205,0.071878,0.181555,0.102053,0.401746,0.888851,1.000000,0.657520,0.212449,0.586827,1.000000
446,0.023291,0.058957,0.033632,0.138448,0.323948,0.023010,0.058350,0.031708,0.134918,0.323578,0.027999,0.074087,0.044297,0.177121,0.395165,0.027283,0.071747,0.041443,0.171936,0.388031,0.018980,0.044549,0.025126,0.104623,0.253424,0.019562,0.046799,0.025818,0.107086,0.258881,0.039515,0.101267,0.075170,0.246521,0.521744,0.039185,0.100113,0.073044,0.244919,0.521210,0.064783,0.163985,0.093546,0.385083,0.901040,1.000000,0.598819,0.193713,0.556498,1.000000
447,0.023751,0.052890,0.035765,0.119955,0.293341,0.022736,0.050232,0.031189,0.113983,0.295502,0.029076,0.066699,0.051100,0.153388,0.358453,0.027832,0.065155,0.047363,0.146210,0.348694,0.019360,0.042020,0.026298,0.091472,0.227589,0.019699,0.042603,0.026367,0.092255,0.234558,0.046407,0.097417,0.087402,0.239639,0.493484,0.046494,0.100128,0.087006,0.240219,0.497040,0.073269,0.163161,0.110333,0.370051,0.904931,1.000000,0.580265,0.225583,0.530908,1.000000
448,0.061276,0.089834,0.090680,0.162239,0.221691,0.062866,0.090179,0.091553,0.161957,0.221466,0.063097,0.097684,0.091643,0.177453,0.240970,0.063263,0.095917,0.091736,0.175049,0.238342,0.056894,0.081537,0.087241,0.147271,0.202599,0.058685,0.083939,0.090210,0.151764,0.207596,0.064112,0.116084,0.092367,0.209234,0.282262,0.064102,0.116043,0.092377,0.209091,0.283386,0.198267,0.290672,0.293410,0.524948,0.717314,1.000000,0.886117,0.640927,0.893449,1.000000
449,0.023934,0.068494,0.036243,0.159402,0.353012,0.023895,0.070404,0.034149,0.164032,0.367737,0.029675,0.086284,0.050865,0.201864,0.415891,0.028870,0.084259,0.047241,0.196625,0.413025,0.018248,0.048419,0.024733,0.111797,0.269888,0.019272,0.051788,0.025940,0.117950,0.286636,0.045130,0.120097,0.087051,0.287867,0.508158,0.044937,0.119553,0.086807,0.286240,0.506866,0.060479,0.173081,0.091585,0.402802,0.892047,1.000000,0.644932,0.192300,0.588758,1.000000
450,0.030138,0.072987,0.045219,0.161066,0.340914,0.030457,0.072113,0.044312,0.159760,0.337158,0.035552,0.089747,0.056080,0.196678,0.407152,0.034668,0.089447,0.053894,0.196289,0.399796,0.024453,0.057235,0.035339,0.126485,0.276592,0.025146,0.059326,0.035919,0.130646,0.285004,0.047846,0.114772,0.084401,0.253616,0.503942,0.048279,0.114990,0.084457,0.253479,0.503586,0.077702,0.188174,0.116583,0.415256,0.878933,1.000000,0.676861,0.243735,0.611908,1.000000
451,0.035450,0.075574,0.052471,0.164950,0.299459,0.034424,0.074677,0.049988,0.161804,0.301727,0.042588,0.091799,0.068013,0.209980,0.365466,0.041656,0.089691,0.065933,0.205505,0.358887,0.029755,0.060424,0.041023,0.124521,0.231485,0.030457,0.062256,0.042145,0.127808,0.239136,0.058578,0.119659,0.092056,0.301768,0.508581,0.058762,0.119614,0.092133,0.305099,0.505310,0.099629,0.212396,0.147466,0.463581,0.841610,1.000000,0.744925,0.313343,0.706555,1.000000
452,0.032350,0.078331,0.051568,0.174543,0.324828,0.031403,0.077332,0.048370,0.172882,0.327484,0.039235,0.092960,0.066685,0.211060,0.383511,0.037842,0.090729,0.063858,0.207550,0.380890,0.026674,0.064491,0.039979,0.140222,0.263602,0.026993,0.066711,0.040436,0.144821,0.269821,0.054774,0.120397,0.092051,0.279744,0.479843,0.054703,0.119370,0.091904,0.277176,0.471237,0.084716,0.205127,0.135042,0.457082,0.850639,1.000000,0.742684,0.288750,0.693432,1.000000
