treeID,ARVI,ARVI2,BNDVI,BWDRVI,CI,CIG,CIVE,CRI1,CVI,DATT1,DATT6,ExG,EXGR,ExR,EVI,GLI,GBNDVI,GNDVI1,IF,LCI,LogR,MGRVI,mSR,MSR1,MTVI1,NBlue,NDRE,NDVI,NGreen,NRed,OSAVI,RDVI1,RGBVI,SAVI,TCI
386,0.171210,0.233728,0.552289,-0.418409,0.483491,1.104702,18.783434,6.831982,3.604777,0.551334,19.366303,0.001874,-0.085722,0.087596,-2.234531,0.006501,0.241306,0.463519,-2.249807,0.194332,0.740450,-0.256499,3.408275,0.624734,0.118006,0.224930,0.167700,0.353614,0.336379,0.438691,0.266242,0.193727,0.069229,0.198464,3.777833
387,0.662194,0.664519,0.708490,-0.059828,0.268595,5.658888,18.761980,20.005422,2.750401,0.606603,36.119342,0.053079,0.025536,0.027543,0.706108,0.277617,0.470907,0.609469,-3.357951,0.439481,1.853823,0.395613,21.441156,2.005978,0.342207,0.222995,0.342593,0.721811,0.470418,0.306587,0.538630,0.391486,0.519291,0.399601,2.398167
388,0.660831,0.680067,0.744390,0.015976,0.337029,5.905544,18.767257,23.328571,3.547331,0.647041,45.704187,0.041785,0.012681,0.029104,0.639199,0.252508,0.528993,0.653885,-2.914944,0.476305,1.902182,0.310967,33.591469,2.072239,0.326317,0.213914,0.378495,0.735100,0.456781,0.329305,0.542415,0.392073,0.491275,0.398549,2.134861
389,0.758721,0.760120,0.771319,0.118597,0.261506,8.469284,18.763421,30.413177,3.003759,0.650171,52.329493,0.050999,0.032384,0.018615,0.611094,0.342809,0.572238,0.677574,-2.959333,0.523014,2.231031,0.512717,24.103650,2.599934,0.363684,0.208979,0.408924,0.803521,0.505991,0.285029,0.591406,0.426813,0.618090,0.433612,2.047697
390,0.635193,0.629681,0.685664,-0.140982,0.227810,5.092806,18.762482,14.116909,2.822668,0.614875,33.772437,0.051078,0.020364,0.030714,0.823080,0.235403,0.437758,0.595545,-3.860473,0.427555,1.746362,0.336039,30.001035,1.858050,0.348270,0.239738,0.337953,0.692035,0.448290,0.311973,0.528329,0.388106,0.445187,0.399235,2.436734
391,0.716197,0.734445,0.771223,0.128087,0.338657,7.859090,18.763006,32.379696,3.245064,0.639329,54.293064,0.051851,0.025097,0.026754,0.662429,0.323397,0.571439,0.674504,-2.670243,0.500887,2.133771,0.440051,36.082312,2.453991,0.367432,0.198903,0.391532,0.781577,0.495433,0.305664,0.577972,0.422653,0.596795,0.429614,2.101822
392,0.706548,0.719091,0.754120,0.073466,0.312033,7.103549,18.762559,28.606193,3.078047,0.624909,50.468114,0.052652,0.026647,0.026005,0.651359,0.312628,0.543195,0.656024,-2.906102,0.481320,2.058532,0.435384,30.574623,2.320885,0.357497,0.206470,0.374599,0.768454,0.489495,0.304035,0.564749,0.412003,0.578177,0.418079,2.196313
393,0.744948,0.752262,0.773055,0.125345,0.289279,8.279378,18.759950,26.123133,3.117766,0.651303,44.852643,0.058518,0.034134,0.024384,0.729906,0.334240,0.575152,0.679674,-2.884444,0.519227,2.201789,0.482537,34.512328,2.555919,0.426885,0.205547,0.406528,0.796805,0.501558,0.292895,0.619030,0.460518,0.606763,0.475997,2.038451
394,0.741579,0.752016,0.776311,0.140456,0.299173,8.479949,18.757138,24.364791,3.210966,0.642760,38.778304,0.064556,0.035871,0.028685,0.841171,0.336064,0.580641,0.682244,-2.750128,0.512677,2.211843,0.474827,31.535479,2.581732,0.477565,0.201803,0.399478,0.796595,0.502850,0.295346,0.645292,0.489326,0.610972,0.511695,2.067052
395,0.372129,0.353171,0.499242,-0.484226,0.224445,1.693453,18.767611,6.068624,2.122858,0.469044,19.697681,0.037159,-0.007827,0.044986,1.362201,0.121005,0.168107,0.405055,-5.349689,0.214735,0.985950,0.122569,10.431632,0.877885,0.185235,0.266256,0.173407,0.455701,0.389622,0.344121,0.321412,0.229535,0.245845,0.229291,4.433490
396,0.323360,0.339723,0.544236,-0.436756,0.329603,1.628586,18.773849,5.003746,2.935037,0.533318,17.961436,0.022264,-0.044713,0.066977,1.959347,0.064953,0.233359,0.464601,-4.426303,0.237020,0.958417,-0.049918,6.326450,0.849574,0.204312,0.254664,0.196589,0.444208,0.363132,0.382204,0.345299,0.254308,0.149751,0.263412,3.624140
397,0.776691,0.782524,0.785559,0.195624,0.276271,10.137006,18.752117,27.684308,2.791386,0.634278,38.277238,0.076127,0.051103,0.025024,0.855199,0.390714,0.594829,0.686061,-2.689263,0.522754,2.367934,0.575820,61.293689,2.864371,0.521192,0.193729,0.402450,0.822670,0.534135,0.272136,0.674532,0.515752,0.680507,0.540838,2.078353
398,0.776691,0.782524,0.785559,0.195624,0.276271,10.137006,18.752117,27.684308,2.791386,0.634278,38.277238,0.076127,0.051103,0.025024,0.855199,0.390714,0.594829,0.686061,-2.689263,0.522754,2.367934,0.575820,61.293689,2.864371,0.521192,0.193729,0.402450,0.822670,0.534135,0.272136,0.674532,0.515752,0.680507,0.540838,2.078353
399,0.708257,0.726740,0.768506,0.107938,0.341972,7.329406,18.758390,22.167446,3.365977,0.647549,36.632920,0.061550,0.028798,0.032752,0.853397,0.306944,0.567355,0.674270,-2.664648,0.501994,2.089949,0.408650,26.013616,2.370280,0.463838,0.201907,0.394341,0.774991,0.486345,0.311747,0.629832,0.477894,0.572831,0.500423,2.069287
400,0.214981,0.252210,0.524875,-0.462083,0.404273,1.182094,18.780958,5.839718,3.143889,0.525006,19.750699,0.007290,-0.063007,0.070297,1.120634,0.024081,0.206551,0.443857,-3.569935,0.193288,0.776769,-0.175053,4.097547,0.660516,0.124714,0.243803,0.164492,0.369410,0.344291,0.411905,0.269840,0.193464,0.083096,0.196027,4.001743
401,0.627080,0.651736,0.726299,-0.025484,0.352826,5.206998,18.761810,18.018844,3.261993,0.594424,30.702686,0.053283,0.013778,0.039505,0.839538,0.251618,0.497344,0.627248,-2.764006,0.423083,1.797925,0.300338,18.341350,1.914487,0.378834,0.210965,0.328508,0.710886,0.456448,0.332587,0.559258,0.415456,0.490631,0.431565,2.394293
402,0.770680,0.770341,0.771405,0.137831,0.238809,9.301446,18.753255,25.533310,2.687552,0.631599,39.634204,0.073427,0.049410,0.024017,0.818835,0.374752,0.570982,0.671795,-2.909909,0.513490,2.296839,0.566206,48.501361,2.729337,0.484530,0.203645,0.395894,0.812258,0.524852,0.271502,0.649220,0.491108,0.657658,0.511143,2.117358
403,0.691308,0.703501,0.747252,0.034605,0.305896,6.560346,18.760736,20.849324,3.173596,0.632794,37.782394,0.056099,0.025188,0.030911,0.790130,0.287903,0.532508,0.652690,-2.957290,0.478443,1.992770,0.393706,27.707829,2.213245,0.404606,0.213032,0.374847,0.755129,0.475766,0.311202,0.590988,0.439107,0.541514,0.455163,2.173357
404,0.780954,0.788893,0.813632,0.228937,0.278285,11.118025,18.767577,35.887022,4.141037,0.689233,77.563776,0.041813,0.020501,0.021312,0.669563,0.321274,0.647340,0.737973,-2.848218,0.572369,2.425552,0.457154,50.687374,2.993590,0.392139,0.208185,0.456713,0.828114,0.494669,0.297145,0.621727,0.455393,0.588776,0.465518,1.831540
405,0.785304,0.789794,0.788939,0.209039,0.274768,10.340076,18.754474,30.965671,2.793101,0.636366,43.779417,0.071094,0.048549,0.022545,0.780399,0.396426,0.600667,0.690165,-2.724600,0.528064,2.395694,0.587982,63.015665,2.907459,0.485167,0.192931,0.406606,0.828884,0.537368,0.269701,0.662364,0.498774,0.688148,0.519872,2.060843
406,0.693003,0.707350,0.755107,0.056716,0.306709,7.015134,18.760687,21.122388,3.310199,0.633209,39.255533,0.056202,0.021970,0.034232,0.851953,0.286755,0.545954,0.662859,-2.907248,0.481263,2.026696,0.383443,35.049556,2.283003,0.423549,0.211199,0.376838,0.758418,0.475630,0.313171,0.598694,0.450350,0.539996,0.467210,2.154337
407,0.725051,0.735823,0.769308,0.101682,0.304800,7.736186,18.762741,26.096344,3.345242,0.632870,44.837390,0.052056,0.025936,0.026119,0.724831,0.306839,0.569870,0.679270,-2.915551,0.495988,2.132379,0.428439,24.117565,2.443852,0.399096,0.209192,0.385596,0.782755,0.486145,0.304663,0.602830,0.444438,0.569320,0.458479,2.108512
